Domain,Frequency,사용여부
www_newsis_com,421,1
www_yna_co_kr,372,1
www_news1_kr,221,1
www_segye_com,169,1
www_ytn_co_kr,158,1
www_ohmynews_com,152,1
www_khan_co_kr,144,1
www_hankyung_com,144,1
www_nocutnews_co_kr,132,1
news_kbs_co_kr,129,1
www_hani_co_kr,127,1
www_mk_co_kr,121,1
www_edaily_co_kr,113,1
view_asiae_co_kr,110,1
news_mt_co_kr,109,1
www_joongang_co_kr,107,1
www_fnnews_com,106,1
www_donga_com,101,1
www_sedaily_com,100,1
news_sbs_co_kr,96,1
www_hankookilbo_com,96,1
www_chosun_com,90,1
news_heraldcorp_com,83,1
www_seoul_co_kr,81,1
www_businesspost_co_kr,72,1
www_dailian_co_kr,69,1
www_mediatoday_co_kr,68,1
imnews_imbc_com,66,1
www_pressian_com,66,1
biz_chosun_com,65,1
www_newspim_com,64,1
www_etoday_co_kr,62,1
www_ajunews_com,57,1
www_imaeil_com,53,1
www_dt_co_kr,52,1
www_breaknews_com,50,1
www_kmib_co_kr,50,1
n_news_naver_com,49,1
www_munhwa_com,47,1
news_tf_co_kr,46,1
mbn_mk_co_kr,44,1
www_asiatoday_co_kr,43,1
www_newstomato_com,40,1
news_tvchosun_com,39,1
shindonga_donga_com,37,1
monthly_chosun_com,36,1
www_sisajournal_com,35,1
www_inews24_com,34,1
www_busan_com,34,1
www_korea_kr,33,1
www_moneys_co_kr,32,1
www_polinews_co_kr,31,1
www_gukjenews_com,31,1
www_mbn_co_kr,30,1
news_kmib_co_kr,29,1
yna_kr,29,1
news_jtbc_co_kr,29,1
www_skyedaily_com,28,1
www_safetimes_co_kr,28,1
www_christiantoday_co_kr,28,1
www_newdaily_co_kr,28,1
www_ekn_kr,28,1
www_kyeonggi_com,27,1
www_newsfreezone_co_kr,27,1
www_kado_net,26,1
www_kwnews_co_kr,26,1
www_joongdo_co_kr,25,1
weekly_chosun_com,25,1
www_kukinews_com,25,1
www_newscj_com,25,1
www_yonhapnewstv_co_kr,25,1
zdnet_co_kr,24,1
daily_hankooki_com,24,1
www_ichannela_com,23,1
www_metroseoul_co_kr,23,1
www_labortoday_co_kr,23,1
www_viva100_com,22,1
www_pennmike_com,22,1
ilyo_co_kr,21,1
h21_hani_co_kr,21,1
www_wikitree_co_kr,21,1
www_mediapen_com,20,1
www_topstarnews_net,20,1
www_asiatime_co_kr,20,1
biz_sbs_co_kr,19,1
www_shinailbo_co_kr,18,1
www_wowtv_co_kr,18,1
www_kyeongin_com,18,1
www_namdonews_com,18,1
www_naeil_com,17,1
www_daejonilbo_com,17,1
www_ggilbo_com,17,1
www_voakorea_com,17,1
kormedi_com,17,1
www_tongilnews_com,16,1
www_joseilbo_com,15,0
www_bntnews_co_kr,15,0
www_sisain_co_kr,15,0
www_kookje_co_kr,15,1
sports_khan_co_kr,15,0
radio_ytn_co_kr,14,1
www_etnews_com,13,1
www_sisaon_co_kr,13,0
www_incheonilbo_com,13,0
www_dnews_co_kr,13,0
www_enewstoday_co_kr,13,0
economist_co_kr,13,0
www_kgnews_co_kr,13,0
weekly_khan_co_kr,12,0
www_seoulfn_com,12,0
www_joongboo_com,12,1
www_jbnews_com,12,0
www_kpinews_kr,12,0
news_cpbc_co_kr,12,0
magazine_hankyung_com,12,0
www_domin_co_kr,12,0
www_g-enews_com,12,0
www_greened_kr,12,0
news_joins_com,11,0
news_mtn_co_kr,11,0
www_newsmp_com,11,0
www_kmaeil_com,11,0
biz_newdaily_co_kr,11,0
www_getnews_co_kr,10,0
www_siminilbo_co_kr,10,0
news_bbsi_co_kr,10,0
www_fntoday_co_kr,10,1
www_insight_co_kr,10,1
news_mk_co_kr,10,1
www_danbinews_com,10,0
www_mediaus_co_kr,10,0
hankookilbo_com,10,1
www_hansbiz_co_kr,10,0
www_laborplus_co_kr,10,0
www_newstnt_com,10,0
